note,count
G#2 0.5,139
D2 0.5,73
G#1 0.5,65
G1 0.5,86
E3 0.5,441
E2 0.5,72
E-2 0.5,139
F1 0.5,17
10 2.0,29
9 2.0,36
B3 0.25,1770
8 0.5,130
11 0.5,204
1 0.5,144
F#3 0.25,766
E-6 0.25,457
2 0.25,348
3 0.25,237
0 0.25,560
10 0.25,296
9 0.25,267
7 0.25,384
6 0.25,175
D2 8.0,2
F#2 0.25,186
2 4.0,7
G3 1/3,436
D4 1/3,630
A4 1/3,414
A5 1/3,277
D6 1/3,151
F6 1/3,45
0 4.0,7
C4 2.0,68
10.2.5 4/3,2
10.0.3 0.5,1
0.4 1/3,204
7.10.0 0.5,23
3.7.10 0.5,131
5.7.10 0.5,12
rest 1147/12,1
7 2.0,45
B5 0.25,1340
F6 0.25,434
0 2.0,54
G#3 0.25,1085
3 2.0,16
5 2.0,24
3 1.0,69
5.10 1.5,1
6.8 0.5,14
10.1 0.5,73
rest 52.5,2
2.7 0.5,71
B-1 0.5,98
E-5 1/3,358
rest 251/6,1
7.10.1 1.0,12
4 2.0,19
A5 0.0,1388
10 1.5,17
rest 12.5,3
rest 34.0,1
E5 0.75,103
rest 149.5,1
C#5 0.0,516
G#5 0.0,410
F#5 0.0,558
A5 0.75,45
C#3 0.25,551
E5 0.0,1501
C#6 0.75,11
C6 0.0,597
B-5 0.0,640
E4 0.5,907
rest 116.0,1
E3 0.25,1434
4.7 0.25,411
1.4 0.25,158
9.1 0.25,167
2.6.9 1.0,70
6.9.0.2 1.0,8
7.10.2 0.25,15
G3 1.0,249
10.0 0.0,59
9.10 0.0,36
4.5 0.0,13
7.9 0.0,81
6.7 0.0,16
C6 1/3,183
C#6 0.0,274
D6 0.0,572
G4 0.0,913
0.3.5 1.0,2
E-4 1/3,370
E-4 0.0,254
2.3 0.0,37
8.9 0.0,13
10.11 0.0,2
0.1 0.0,1
C#6 2/3,4
2.6 0.25,135
11.2 0.25,369
11.2.5.7 1.0,19
0.3.7 0.25,76
3.5 0.0,81
2.7 0.25,141
C4 0.0,435
0.2 0.0,69
11.0 0.0,13
8.10 0.5,14
rest 14.0,4
0.3.7 0.5,41
8.10 0.25,46
0.2 0.25,100
B-3 2.0,66
6.10 0.25,90
9.0.3.5 1.0,7
rest 2.0,70
rest 6.0,15
2.6.9 2/3,18
9.2 2/3,6
2.6 2/3,25
rest 3371/6,1
4.7 2/3,29
6.9 2/3,14
B5 1/3,142
C#6 1/3,61
A5 2/3,24
F#3 1/3,193
F#5 2/3,19
D3 1/3,215
E3 1/3,207
2 2/3,43
F#5 1/3,207
2 1/3,59
F#4 1/3,250
9.2 1/3,16
1.4 1/3,34
G4 1/3,485
4.9 1/3,28
D4 2/3,83
6.9 1/3,51
7.11 1/3,120
8.11 1/3,18
C#3 1/3,70
A2 1/3,86
4.9 2/3,8
9.1.4 1/3,58
G#5 1/3,130
E4 1/3,345
C#5 1/3,185
G#3 1/3,231
G#4 1/3,195
C#5 1.0,114
4.8 1/3,42
C#5 0.5,607
A3 2/3,60
A4 2/3,58
E3 4/3,6
C#4 2/3,8
B3 2/3,10
F#4 0.0,195
C#5 2/3,13
B2 1/3,79
G#2 1/3,40
E2 1/3,49
A2 2/3,11
E5 2/3,21
D5 2/3,71
F#5 0.75,45
9.1 2/3,15
4.8.11 1/3,14
8.11.2 2/3,2
4 2/3,5
6 2/3,7
2.6 1/3,44
D3 4/3,4
11.2 1/3,191
9.1 1/3,36
8.11.2 4/3,4
E3 2/3,9
E-5 8/3,1
11 8/3,1
7.11 2/3,15
11.3 2/3,3
3.6 4/3,1
G2 1/3,94
F#2 1/3,32
9 8/3,1
1.4 4/3,1
D2 1/3,29
8 4/3,1
10 4/3,13
F3 1/3,342
5 4/3,6
6 4/3,6
B4 2/3,23
F5 2/3,56
B-5 4/3,1
B5 4/3,2
4.7 1/3,86
F#3 4/3,2
F#2 4/3,1
10.1 1/3,18
10.1.4 4/3,1
B2 2/3,1
F#2 2/3,1
11.2 2/3,12
B1 2/3,2
11.2.6 4/3,1
11 4/3,1
0.2.6 2/3,1
9 2/3,18
B4 4/3,4
7 4/3,6
0.4 2/3,14
C5 2/3,66
A4 1.0,292
G4 2/3,60
2.7 2/3,2
2.7 1/3,39
11.3 1/3,13
11.4 2/3,2
B-3 1/3,367
9.0 1/3,139
2.8 1/3,30
7.9 1/3,3
4.6 1/3,2
1.6 1/3,1
2.5 1/3,110
F#5 1.0,104
5.9 1/3,137
7.10 1/3,134
C4 1/3,599
G#5 4/3,2
7 1/3,89
6 1/3,21
4 1/3,46
E6 1/3,49
D6 2/3,7
F#4 2/3,19
D3 2/3,34
G5 2/3,48
B5 0.0,583
7 2/3,10
D2 0.25,188
rest 233/6,1
B5 2/3,4
E6 0.25,478
1.4.7 2/3,1
10 2/3,36
11 2/3,8
9 4/3,5
1.4.7 4/3,1
D2 2/3,3
rest 1.0,125
rest 3.0,52
rest 183.5,1
C5 0.75,57
10.0.4 0.25,18
4.7.10.0 0.0,6
5.9 1.0,180
C5 1.0,276
B-5 1/3,209
5.7.10 0.25,8
4 0.25,238
2.5.7.10 0.25,1
3.9 0.25,121
4.9 0.25,117
5.7.11 0.0,2
0.4.7 0.0,28
2.5.7 0.0,9
8.11 0.5,150
1.4.7.10 1.5,6
9.1.4 0.25,25
2.5.9 0.25,14
2.5.8 1.0,32
2.5.8 0.5,35
9.0.4 1.5,1
2.5 1.0,134
9.2 0.25,136
9.0.2.4 0.25,1
9.11.2 0.25,1
6.9.0 1.0,22
11.2 0.5,276
4.8 0.25,164
9.0 1.5,17
2.5 1.5,14
3.7 1.0,79
10.0.3 0.25,11
A1 0.5,34
A6 0.25,51
C7 0.25,41
E7 0.25,6
D7 0.25,16
B6 0.25,14
B-6 0.25,80
G#6 0.25,106
G6 0.25,160
F#6 0.25,128
rest 1.5,25
rest 5/3,2
rest 36.75,1
rest 48.75,1
rest 46.5,2
F6 0.0,88
E4 0.0,415
B-2 0.0,86
7.10.0 0.75,4
B-4 2/3,120
10.0 0.25,107
F4 2/3,56
B4 0.75,76
B-5 0.75,30
4.7.10.0 0.75,6
rest 464.25,1
7.10.1 0.25,10
7.10.2 0.75,3
2.4 0.0,35
rest 456.25,1
E4 0.75,46
rest 451.75,1
7.10 0.75,3
5 0.75,24
9 0.75,25
7.9 0.75,2
5.9 0.75,11
4.9 0.75,11
7 0.75,20
9.2 0.75,4
7.9.1 0.75,2
4 0.75,13
B2 0.5,148
G4 0.75,37
5.7 0.75,3
4.7 0.75,14
2.5.7 0.75,2
E-5 0.75,43
2.3 0.25,13
G#5 0.75,15
5.7 0.25,115
8 0.25,216
3.5 0.25,60
0.6 0.25,80
B5 0.75,33
6.9 0.75,15
5.8 0.75,16
11.2 0.75,14
7.0 0.75,5
F4 0.75,24
G4 1.5,30
2.5 0.75,5
5.7.11 0.5,12
0.4.7 1.0,140
F#3 0.0,102
E-6 0.0,120
A4 0.75,62
E-3 0.0,191
F2 0.0,51
B-1 0.75,4
F2 0.25,467
9.0.3 1.5,5
6.9.0 1.5,4
7.10.2 1.5,2
10.0 0.5,30
8 1.5,13
9 1.5,19
D4 1.5,13
C#4 1.5,14
11.2.5 0.25,25
4.7.10 0.25,45
4.7.10 1.5,3
C2 0.25,275
G2 0.0,56
1 0.75,8
1.3.7 0.75,13
2 0.75,18
2.6 1.25,2
0.2 0.75,5
10.2 0.75,9
2.7 0.75,1
10 0.75,10
0.2.6 0.75,1
10.0 0.75,1
9.0 0.75,21
G#4 0.75,31
C#5 0.75,35
8.10 0.0,22
8 0.75,5
1 0.25,170
0 0.75,11
G#2 0.25,490
E6 0.0,205
10.1 0.75,6
C4 1.5,21
4.7.10 2/3,1
C5 1.5,58
10.0.4 0.5,6
9 1.0,125
11 1.0,64
0.5 1.5,9
0.4 1.5,14
10.0 1.5,1
A3 0.75,34
rest 2.5,12
rest 68.0,1
9.11.2.4 0.5,62
G#4 0.5,325
G#4 2.0,31
0.4 1.0,159
A2 1.0,118
1.4 1.0,72
9.0.2.5 1.0,5
11.3 1.0,12
11.0.4.7 1.0,3
11.2.5 1.0,48
4.8 1.0,60
G#4 1.0,107
B-4 0.75,40
0.5 0.5,98
4.7.9 0.5,20
9.2 1.0,37
7.11.2 1.0,85
9.0 1.0,136
D5 1.5,49
C5 4.0,6
rest 627.75,1
7.11 1.0,114
11.2 1.0,120
4.7 1.0,108
9.2 0.5,77
2.5.7 0.5,27
2.5.7 1.0,22
F3 3.0,16
D4 1.0,168
E3 3.0,3
0.2 1.0,68
G3 2.0,65
E3 2.0,35
0.5 1.0,37
5.7.11 2.0,4
F5 3.0,10
D6 0.75,20
G1 0.25,55
7.11 0.75,8
7.11 0.25,287
9.0.2 0.75,2
9.0.2 0.25,16
7.11.2 0.75,7
7.11.2 0.25,61
C2 1.0,24
0.2.5.7 0.5,8
B4 2.0,49
1.4.7 0.5,30
4.7.10.0 4.0,2
B1 0.25,75
11.3 0.75,3
11.3 0.25,114
0.4 2.0,17
6.9 2.0,15
11.3 2.0,3
4.7 2.0,25
9.1 2.0,11
F#4 0.75,25
3.6 2.0,15
4.8 0.75,13
4.8 2.0,9
2.6 2.0,12
8.11 2.0,10
9.1 1.0,98
9.1 0.75,15
10.2 2.0,14
7.11 2.0,25
1.4 2.0,3
2.7 1.0,37
6 1.0,35
E4 1.0,173
C#3 0.0,90
9.11.4 0.5,1
2.4 0.5,21
E3 0.75,28
11.4 0.25,115
F#3 1.0,92
9.1 0.5,205
4.9 0.5,86
A4 3.0,6
F#4 1.0,111
8.11 1.0,53
A5 1.5,45
A4 4.0,10
G#5 0.5,311
9.11 1.0,56
D3 3.0,6
B-3 3.0,14
C3 3.0,12
G#3 1.0,92
A3 2.0,34
2.4.8 1.0,3
9.1.4 1.0,97
9.0.4 2.0,2
2.5.8.11 2.0,13
11.0.4 1.0,1
A5 3.0,11
D5 3.0,20
rest 35.25,1
C2 0.5,367
2.5.8.11 4.0,2
0.3.6.9 4.0,1
E-2 0.25,156
E2 1.0,26
9.11 2/3,1
4.8.11 0.75,5
4.8.11 0.25,16
5.9.11 1.0,1
5.9.11 0.75,1
5.9.11 0.25,2
A1 1.0,11
6.9 0.5,136
1.6 0.25,62
2.6 1.5,4
B4 1.25,3
1.5 1/3,17
1.6 0.75,4
F#5 4/3,3
B2 1.25,3
9.1 1.5,22
8.1 1/3,3
3.9 0.5,26
5.8 0.5,185
5.8 0.25,397
1.6 0.5,22
2.6 0.5,118
6.9 1.0,76
11.1 0.25,62
5.8 1.0,70
3.6 0.5,145
3.6 0.25,159
E6 1.0,48
E-6 1/3,64
B3 0.5,463
E6 0.75,24
E5 1.5,37
11.2.6 0.75,2
C#4 0.75,18
E3 1.25,1
2.6 0.75,4
2.4 1/3,12
D3 0.75,22
E-3 0.75,11
E6 1.25,9
11.1 0.0,31
9.11 0.0,71
F2 0.75,5
5.8 1/3,81
F#4 7/3,1
9.2 7/3,1
G3 4/3,5
1 1.0,77
11.1 0.5,16
A5 4/3,2
C#5 1.25,7
6.8 0.0,6
E-6 1.5,21
C#2 0.25,142
C#3 0.75,16
C#6 1.5,16
F#3 0.75,20
F#5 1.5,24
A4 1.5,40
G#4 1.5,13
B2 0.75,12
A3 1.5,33
G3 1.5,15
A2 0.75,17
C3 1.25,6
rest 1.75,9
rest 10.5,1
rest 24.5,1
rest 132.75,1
10.2.5 0.75,12
10.2.5 1/3,58
10.2.3.5 0.0,6
10.2.5 0.0,39
2.5.7.10 0.0,4
rest 1046.5,1
rest 1012.5,1
3.5.9 0.5,9
10.1.4 0.5,10
G6 0.5,16
G#6 0.5,6
0.3.6 0.5,55
10.3 0.5,48
10.2 0.0,45
0.3 0.0,38
10.0.3 0.0,7
3.7.10 0.25,183
0.3 1.0,95
3.7 0.0,49
3.7.10 0.0,14
1.4 0.0,13
10.1.4 0.0,4
3.6 0.0,18
3.6.10 0.0,5
5.8.10 0.25,28
5.8.10 0.0,8
2.6 0.0,10
2.6.10 0.0,4
7.10 1.0,105
3.7.10 1.0,64
4.10 0.0,6
6.10 0.0,9
5.10 0.0,28
7.10.0.3 0.0,2
8 0.0,8
8.10.0.3 0.0,2
9 0.0,33
9.10.0.3 0.0,2
0 0.0,26
7 0.0,29
3 0.0,26
A1 0.25,105
F1 0.25,181
2.6.9 0.0,9
2.6.9 0.25,58
D4 0.75,32
6.9.0.2 0.25,22
G2 0.75,7
F#2 0.75,8
E-2 0.75,5
9.0.3 0.25,31
8.11.2 0.25,12
9.0.3 0.5,24
9.0.2 0.5,18
11 0.25,318
E6 0.5,119
4.7.11 0.5,9
1.4.7.9 0.5,13
rest 10351/12,1
2.4.7 0.25,5
9.0.4 0.25,17
B5 1.5,22
2.8 0.5,55
G5 1.5,67
1.7 0.5,35
6.10 0.5,29
11.2.5 0.5,16
8.11.2 0.5,16
7.9 0.25,95
6.9.0 0.5,24
9.0.2 3.0,9
G5 2.0,41
C#7 0.25,6
B3 1.0,122
C#4 1.0,92
8.0 0.5,114
F6 2.0,11
7.11.2 1.5,7
7.11.2 2.0,19
B5 1.0,58
2.6 1.0,92
B5 2.0,16
G6 2.0,3
11.2.5.7 0.25,30
0.2.5.7 0.25,4
2.5.7 0.25,8
8.11.2.4 0.25,10
1.4.7.9 0.25,6
0.2.6 0.25,5
9 1/3,35
10 1.75,1
11 2.0,20
11 1/3,42
0 1/3,103
2 2.0,26
2.5.8.10 0.25,29
3.7 1/3,86
7.10 2.0,43
3 1.5,14
7.10 1.75,2
G3 1.25,4
E-4 0.75,15
3.7 0.75,6
G#2 0.75,13
8.0 0.25,179
G4 1.0,249
3.7.9 0.25,1
0.2.5 0.25,3
5.8.0 0.25,68
8.11.3 0.5,36
0.3 0.75,13
8.0.3 0.25,66
8.0 1.0,46
5.8 1.5,13
3.6.9 0.5,30
G2 1.5,12
5.7 0.5,56
8.0 1.5,4
2.5.8 0.25,15
1.5.8 0.25,74
1.5 0.25,115
1.5 1.0,23
10.1 1.0,56
0.2.5.8 0.25,3
7.10.0.3 0.25,9
2.5.8.11 0.25,31
7.9.0.3 0.25,1
5.7.10.1 0.25,1
0.3.5.8 0.25,2
7.11 1.75,1
7.11 1.5,8
0.3.7 1.75,1
C4 0.75,17
3.7 1.75,2
0.3 1.5,12
2.5 1.75,2
3 0.75,6
3.7 1.5,7
6.9 1.75,1
A6 1.5,1
F#6 1.0,4
2.5.8.11 1.75,2
2.5.8.11 0.75,4
1.4.7.10 0.25,16
1.4.7.10 1.75,2
2.4.7.10 0.25,2
2.4.7.10 0.75,3
1.2.4.7.10 0.25,1
2.6.9 0.75,10
E-6 2.0,18
E5 2.0,30
4.7.11 1.0,12
11.4 1.0,17
E-4 1.0,115
1.4.6 0.5,3
B-1 1/3,3
F#1 1/3,1
4.6 0.25,29
E2 0.75,2
B-2 0.75,13
B-2 1/3,104
4.10 0.25,84
C#3 1.75,3
C#4 1.75,4
E3 1.75,3
E4 1.25,5
10.2.3.5 0.25,1
2 1.0,114
5.10 1/3,53
1.4.7.10 0.5,17
F3 3.5,1
B-3 2.5,2
6.10 0.75,3
C#4 2.0,18
6.10 1.0,15
8.11.3 0.25,72
10.1.5 0.25,38
6.10.1 0.25,60
1.4.7 0.25,14
5.8.11 0.25,44
10.11 0.25,18
1.3 0.25,43
5.8.11 0.5,15
3.6.10 0.5,10
6.10.1 0.5,37
C#2 1.0,16
5.8.10.1 0.25,1
C#2 0.5,113
6.10.1 1.0,25
6.10.1 0.0,6
2.5.8.11 0.0,18
1.4.7.10 0.0,15
10.1.4 1.0,6
10.1.4 0.25,12
1.4.7.10 1.0,23
11.2.6 0.0,12
11.2.6 1.0,11
11.2.6 0.25,33
10.1.4.6 0.0,5
5.8.11.1 0.0,2
6 0.0,19
1 0.0,10
E-2 0.0,30
C#2 0.0,7
11.2.6 0.5,24
11.2.4.6 0.0,1
B3 0.75,23
C2 0.75,3
A1 0.75,1
F#1 0.75,1
0.3.6 0.25,23
B-6 0.5,9
5.7.10.0 0.5,1
5.11 0.5,60
0.3.5 3.0,4
F7 0.25,3
E-7 0.25,3
G#6 2.0,1
D5 2.0,44
F#6 0.5,16
B-6 2.0,1
F6 1.25,6
3.5.8.10 0.25,9
4.7.10.0 0.25,38
9.0.3.5 0.25,26
8 1.0,54
3.6 1.0,36
10.2.5 2.0,6
rest 200/3,1
0.3.7 0.75,2
2.5.9 0.75,2
3.7.10 0.75,1
9.0.3.5 0.75,1
F#1 0.25,39
rest 25.0,4
9.10.3 2.0,1
3.6.9 0.0,5
B-1 2.0,9
0.3.6.9 0.0,4
10.0.3.6 0.0,2
rest 5.0,13
rest 5.5,4
rest 16.0,2
rest 12.0,7
1.4.7 1.0,37
4.7.10 3.0,11
1 4.0,10
rest 1784.0,1
8.10 2.0,3
0.6 2.0,5
D6 2.0,20
F4 2.0,31
A3 4.0,13
G4 2.0,55
F#4 2.0,22
2.4 2.0,2
1.7 2.0,7
9.0.3 3.0,3
6 4.0,5
10.2.4 1.0,2
G5 4.0,2
E5 3.0,9
A5 2.0,25
C#3 0.5,175
4.7.9 1.0,26
D3 2.0,36
E4 2.0,42
1.2 0.5,2
0.2 0.5,21
9.10 0.5,14
2.5 4.0,3
9.10 1.0,26
0.3.5 2.0,2
0.3.5 1.5,2
10.2.5 4.0,4
0.3.6 2.0,7
0.3.6 1.5,2
7.10.2 4.0,2
2.5.8 2.0,4
2.5.8 1.5,5
4.9 1.0,40
4.7.10 1.0,40
1.7 1.0,10
2.5.9 2.0,7
1.4.7 2.0,2
D6 3.25,1
5.9.0 3.0,1
9 4.0,8
7.10.2 2.0,4
5.8.0 1.0,61
10.0 1.0,62
11.1 4.0,2
F4 7.0,2
11.1.5 4.0,1
11.2.5 4.0,4
0.5 8.0,1
4.10 2.0,1
C4 4.0,3
0 3.0,8
C6 3.0,11
4.7.9 2.0,3
5.9.0 2.0,8
F5 5.0,1
2.4 1.0,105
3.9 1.0,21
B3 2.0,30
E3 4.0,5
11.2.5 3.0,3
8 4.0,18
3.5 2.0,3
11.2.5 2.0,7
8 2.0,20
6.9.0 2.0,7
A4 2.0,47
